index, name, clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
0, NVIDIA RTX PRO 5000 72GB Blackwell, 2587 MHz, 810 MHz, 28
1, NVIDIA RTX PRO 5000 72GB Blackwell, 2587 MHz, 810 MHz, 28
2, NVIDIA RTX PRO 5000 72GB Blackwell, 2617 MHz, 13365 MHz, 39
3, NVIDIA RTX PRO 5000 72GB Blackwell, 2557 MHz, 810 MHz, 29
4, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 26
5, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 26
6, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 26
7, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 26
8, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 27
9, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 27
10, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 27
11, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 28
12, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 27
13, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 28
14, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 28
15, NVIDIA RTX PRO 5000 72GB Blackwell, 180 MHz, 405 MHz, 28
